date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
2013-06-01,3.1062640262184065,1.3982617213658324,3.0972125442079417,-0.5002149007351394,-0.37669589150985017,-1.189107249552181,-0.9288594531520532,0.7036046415322328,1.3580399547115105,-1.457570596304122,0.1224419493054021,0.3412203188072298,0.12203781819513819,0.019840572865625305,0.012067931161548844
2013-07-01,3.7215042390351187,-1.23231615921602,1.0855788382165887,0.21885436350058038,0.10966413686226749,0.8494298952907873,0.10941139277176566,-0.796627563769245,0.1995115969635091,-0.25834566784922075,0.13221427694101423,0.8382810814858004,0.28917694514339154,0.01648640204236542,0.008451576852077446
2013-08-01,3.419798034237701,1.7963792646364216,1.1664767976339812,0.8984663382574047,-0.8860272290312764,-0.24246464572347942,-0.019184859871322752,-0.6078759272406163,0.40010142842176677,1.5472422281550267,0.06816399058702488,0.7610964939842381,0.23064589724968843,0.011471476432104668,0.010991207367969616
2013-09-01,3.446943811396929,-0.19918375138960517,0.33451325754352595,-0.22689981574311577,-0.6531358724128158,0.12634466833054145,-0.8784772789252139,-0.22398271683743445,0.5586768434088102,0.004511923871352448,0.4986157038265893,0.7994802279483268,-0.04401577785764078,0.010620143567142496,0.008907919526696844
2013-10-01,3.498215049154756,-1.1519587431279124,0.8275477704675847,-0.2870107010846788,-0.13895148834862103,0.5496529897315087,-0.5967076036037476,-0.4352127665379858,0.31122113385081474,0.010791328209634176,0.5023634965823823,0.702649535685115,-0.03795089840211893,0.019047037624343587,0.006730052598010629
2013-11-01,3.451212177939465,0.7183593308007785,1.8102675163078303,0.8462635815411287,0.15151915040896294,-0.5829821684115454,-0.7503516526900172,-0.6920755854992852,0.13745740597858397,0.19167212688858426,0.2813871815115868,0.3639479158856111,-0.06034609063230091,0.009682370096312762,0.01894077178243986
2013-12-01,3.431240628739755,0.6363354576118637,2.16792925785723,-0.2914692352005813,-0.5452160761830749,-0.3125465755819079,-0.7025650095480567,-0.3856044298688494,-0.2620228952856666,1.33751057502107,0.2879320673113996,1.0029158535578622,-0.33054778911971555,0.0039051680069179646,0.012068031757925859
2014-01-01,3.3818846247505814,-0.2553589526985679,-2.086939702643214,0.22519914745476266,-0.9624694885252484,0.32843311549918514,-1.091788971536983,-0.6051678201621676,1.753533229907609,-0.9511012277247363,0.6311401609744564,0.2338857387254809,-0.38392185752007885,0.0005358810195991798,0.002227899885478403
2014-02-01,3.1637602864603935,-0.4862601184280819,1.694615550174619,-0.4626952490146002,0.07040830278831925,0.21641016937595658,-0.7467020447182353,-0.28868174329668755,0.03792311361070124,0.004788997600186957,0.1837021700510655,0.7640122902056368,-0.17193959995993244,0.015230381645980607,0.0015056820786697191
2014-03-01,2.9580435078298866,0.11139435689132479,0.25208413363079624,-0.42330520917002545,-0.891742821388344,-0.09854995581423627,-0.946064297914802,-0.6275732405641266,0.22344886466938416,-0.3131344744691868,0.15587957413929338,0.3136849265014209,-0.2121945614065509,0.005982397165036816,0.005551658542987758
