Model,R2,Adj_R2,AIC,BIC
"OLS (credit, dinflation, dvix)",0.7290028274356299,0.7212043476496048,411.69594457161077,429.5148243690668
"Lasso (credit, equity, dvix)",0.673919518170057,0.6669320792737011,436.3411055594244,451.19017205730444
"Post-Lasso OLS (credit, equity, dvix)",0.7161050494530232,0.7100215862270166,416.3913527043134,431.24041920219344
