,Ridge (raw),Lasso (raw),Ridge_intercept,Lasso_intercept
SONIA,0.03660501837470643,0.0,0.961288644360999,0.3796699035133683
SONIA_EFFR_spread,2.004850958349825,0.0,0.961288644360999,0.3796699035133683
slope,-0.32848418392162076,-0.0,0.961288644360999,0.3796699035133683
slope_change,2.132920484496215,0.0,0.961288644360999,0.3796699035133683
butterfly,-0.9088681078371972,-0.0,0.961288644360999,0.3796699035133683
butterfly_change,-5.524422500069143,-0.0,0.961288644360999,0.3796699035133683
swap_spread,1.3443376037603256,0.0,0.961288644360999,0.3796699035133683
IG_gilt_spread,0.15954995649368506,0.25497468953770774,0.961288644360999,0.3796699035133683
HY_IG_spread,-0.0364737094088046,-0.0,0.961288644360999,0.3796699035133683
inflation,0.236854184711624,0.0,0.961288644360999,0.3796699035133683
inflation_change,3.1497171633567307,0.0,0.961288644360999,0.3796699035133683
S&P_500_HY_spread,-0.2020328383289815,-0.29775337890048703,0.961288644360999,0.3796699035133683
S&P_500_ERP,0.0689731311317541,0.0,0.961288644360999,0.3796699035133683
VIX,-0.028283985248988865,-0.0,0.961288644360999,0.3796699035133683
VIX_change,-0.010068367153510154,-0.009736463363427894,0.961288644360999,0.3796699035133683
